CONTRAST,CORRELATION,ENERGY,Homogeneity,ENTROPY,SUM OF SQUARE,INVERSE DIFFERENCE MOMENT,SUM AVERAGE,SUM VARIANCE,SUM ENTROPY,DIFFERENCE VARIANCE,D.ENTROPY,INFO.CORR 1,INFO.CORR 2,OUTPUT
0.0944,0.9671,0.2584,0.9546,1.6474,12.3634,0.9986,6.643,31.2838,1.5802,0.0944,0.3103,-0.75,0.9282,1
0.0817,0.9636,0.2808,0.9593,1.6774,12.1385,0.9987,6.6695,29.8962,1.6203,0.0817,0.2829,-0.7675,0.9361,1
0.0755,0.9685,0.2499,0.9628,1.688,9.6366,0.9988,5.8406,22.4126,1.6341,0.0755,0.2671,-0.7923,0.9438,1
0.0811,0.9684,0.2312,0.9598,1.7332,10.1867,0.9988,5.9978,23.7406,1.6756,0.0811,0.2813,-0.786,0.9455,1
0.052,0.9772,0.286,0.9744,1.4939,10.1525,0.9992,6.036,25.4828,1.4564,0.052,0.2035,-0.8313,0.9384,1
0.0687,0.97,0.2936,0.9661,1.4788,10.5563,0.9989,6.1673,26.9519,1.43,0.0687,0.2498,-0.7864,0.9235,1
0.0609,0.974,0.2934,0.9706,1.4974,10.578,0.9991,6.1655,26.8391,1.453,0.0609,0.2271,-0.8096,0.9325,1
0.0656,0.9744,0.3106,0.9682,1.479,11.6204,0.999,6.4621,30.3562,1.4322,0.0656,0.24,-0.7953,0.9264,1
0.0739,0.9717,0.3348,0.9648,1.458,12.3194,0.9989,6.6685,32.8435,1.4055,0.0739,0.2596,-0.7719,0.9166,1
0.0515,0.9789,0.3349,0.9751,1.3912,11.3317,0.9992,6.3909,30.2028,1.3538,0.0515,0.2006,-0.8252,0.9265,1
0.0732,0.9656,0.2614,0.9638,1.5694,9.3897,0.9989,5.8032,22.548,1.5172,0.0732,0.2615,-0.7861,0.9322,1
0.0625,0.9488,0.3821,0.9691,1.3299,9.9401,0.999,6.1416,25.9614,1.2854,0.0625,0.2332,-0.7665,0.8993,1
0.0601,0.9538,0.3897,0.9711,1.2321,10.8401,0.9991,6.4168,29.8781,1.1884,0.0601,0.2244,-0.7679,0.8859,1
0.0748,0.9453,0.3513,0.9634,1.3265,10.8099,0.9989,6.3978,28.9219,1.273,0.0748,0.2649,-0.736,0.887,1
0.0447,0.9729,0.3974,0.9797,1.2382,12.2339,0.9993,6.7853,34.393,1.2049,0.0447,0.1736,-0.8297,0.9097,1
0.0382,0.9776,0.4027,0.9815,1.2102,12.2216,0.9994,6.7743,34.6365,1.1825,0.0382,0.1601,-0.8413,0.9098,1
0.0489,0.9676,0.3476,0.9759,1.3598,9.854,0.9992,6.0635,25.4221,1.3249,0.0489,0.1946,-0.8194,0.9212,1
0.0555,0.9664,0.3128,0.9726,1.4373,10.8912,0.9991,6.3769,28.0448,1.3975,0.0555,0.2139,-0.8077,0.9259,1
0.0574,0.9636,0.3828,0.9726,1.2583,12.6921,0.9991,6.9304,35.7251,1.2184,0.0574,0.2161,-0.7835,0.8958,1
0.0685,0.969,0.2878,0.9666,1.5525,14.4639,0.9989,7.3419,38.4162,1.5049,0.0685,0.2483,-0.7893,0.9316,1
0.0686,0.9656,0.2977,0.9662,1.5542,11.9359,0.9989,6.6468,30.3544,1.5052,0.0686,0.2495,-0.7849,0.9305,1
0.0661,0.9608,0.3333,0.9674,1.419,11.7068,0.999,6.6218,30.8705,1.372,0.0661,0.2429,-0.7737,0.9128,1
0.0938,0.9273,0.3468,0.9534,1.4681,8.3372,0.9986,5.5779,19.9304,1.4016,0.0938,0.3113,-0.7033,0.8925,1
0.0695,0.9595,0.3899,0.9661,1.3552,13.1001,0.9989,7.0289,36.1206,1.3054,0.0695,0.2509,-0.7533,0.8976,1
0.0811,0.9454,0.3301,0.9596,1.4826,9.3286,0.9988,5.8914,22.834,1.4257,0.0811,0.2815,-0.739,0.9078,1
0.0672,0.9595,0.3366,0.968,1.3679,11.4627,0.999,6.5534,30.6595,1.3181,0.0672,0.2419,-0.7747,0.907,1
0.0704,0.959,0.2785,0.9651,1.5732,9.0308,0.9989,5.7484,21.2121,1.5232,0.0704,0.2543,-0.7841,0.932,1
0.0562,0.9601,0.3213,0.9721,1.4492,8.168,0.9991,5.4959,19.456,1.4094,0.0562,0.2161,-0.8055,0.9265,1
0.064,0.9635,0.2644,0.968,1.5726,8.8711,0.999,5.6864,20.7322,1.5282,0.064,0.238,-0.8015,0.937,1
0.0505,0.9733,0.3524,0.9753,1.3891,12.1754,0.9992,6.7323,32.6733,1.3527,0.0505,0.1988,-0.8181,0.9241,1
0.0553,0.9484,0.377,0.9724,1.3119,5.6345,0.9991,4.5486,12.8124,1.274,0.0553,0.2138,-0.7888,0.9054,1
0.0755,0.9729,0.2583,0.9638,1.7404,9.8182,0.9988,5.8358,22.7431,1.6841,0.0755,0.2649,-0.8023,0.9502,1
0.0689,0.9196,0.3917,0.9657,1.205,3.2897,0.9989,3.4144,6.743,1.1566,0.0689,0.2508,-0.7117,0.8578,1
0.0606,0.912,0.4789,0.9697,1.0866,3.7637,0.9991,3.7306,8.5298,1.0447,0.0606,0.2285,-0.7111,0.836,1
0.0644,0.9003,0.4555,0.9678,1.1039,3.6631,0.999,3.686,8.1269,1.0593,0.0644,0.2389,-0.6978,0.833,1
0.0477,0.9379,0.4366,0.9762,1.1255,3.7843,0.9993,3.7188,8.3879,1.0923,0.0477,0.1917,-0.7752,0.8715,1
